Id,Genre
tt0090768,"['Drama', 'Fantasy']"
tt0091605,"['Crime', 'Mystery', 'Thriller']"
tt0091939,"['Comedy', 'Romance']"
tt0090753,"['Action', 'Crime', 'Drama']"
tt0092112,"['Comedy', 'Horror', 'Music']"
tt0090735,"['Action', 'Sci-Fi', 'Thriller']"
tt0091310,['Drama']
tt0091051,"['Action', 'Comedy', 'Crime']"
tt0091584,"['Animation', 'Family', 'Fantasy']"
tt0091203,"['Action', 'Adventure', 'Fantasy']"
tt0092106,"['Animation', 'Action', 'Adventure']"
tt0091209,['Thriller']
tt0091538,"['Crime', 'Drama', 'Romance']"
tt0092115,"['Fantasy', 'Horror']"
tt0090567,"['Crime', 'Thriller']"
tt0091706,"['Action', 'Crime', 'Thriller']"
tt0092147,"['Comedy', 'Horror']"
tt0091276,"['Horror', 'Sci-Fi']"
tt0090693,"['Action', 'Crime', 'Drama']"
tt0090631,"['Drama', 'Sport']"
tt0091668,"['Comedy', 'Crime', 'Romance']"
tt0091579,['Comedy']
tt0092173,"['Drama', 'Romance']"
tt0091344,"['Action', 'Adventure', 'Horror']"
tt0090678,"['Action', 'Drama', 'Thriller']"
tt0089695,"['Action', 'Crime', 'Drama']"
tt0091053,"['Drama', 'Romance']"
tt0091003,"['Action', 'Adventure', 'Fantasy']"
tt0092079,"['Comedy', 'Drama']"
tt0092042,['Adventure']
tt0091472,"['Sci-Fi', 'Thriller']"
tt0091786,['Drama']
tt0092240,"['Action', 'Horror', 'Romance']"
tt0091313,"['Action', 'Drama', 'Thriller']"
tt0090557,"['Drama', 'Music']"
tt0091603,"['Drama', 'Action']"
tt0090779,"['Action', 'Thriller', 'Drama']"
tt0091954,"['Biography', 'Drama', 'Music']"
tt0092850,"['Comedy', 'Horror']"
tt0091508,['Drama']
tt0092022,"['Drama', 'Sport']"
tt0092117,"['Musical', 'Comedy']"
tt0091836,"['Drama', 'Thriller', 'Crime']"
tt0090904,"['Action', 'Crime', 'Thriller']"
tt0090670,"['Crime', 'Drama']"
tt0091934,"['Adventure', 'Crime', 'Drama']"
tt0091963,"['Action', 'Adventure', 'War']"
tt0091647,"['Horror', 'Mystery', 'Thriller']"
tt0091817,"['Drama', 'Sport']"
tt0090563,"['Drama', 'Romance']"
tt0090848,"['Adventure', 'Drama', 'Fantasy']"
tt0091282,"['Adventure', 'Action', 'Comedy']"
tt0090985,"['Comedy', 'Drama']"
tt0091815,['Action']
tt0091415,['Horror']
tt0091981,"['Action', 'Drama', 'Sci-Fi']"
tt0091886,"['Drama', 'History', 'Thriller']"
tt0090852,['Comedy']
tt0090967,"['Comedy', 'Crime', 'Drama']"
tt0091123,['Animation']
tt0090568,"['Action', 'Adventure', 'Crime']"
tt0091613,['Drama']
tt0091083,"['Horror', 'Sci-Fi']"
tt0092104,"['Comedy', 'Drama', 'Romance']"
tt0090710,"['Drama', 'History', 'Romance']"
tt0091164,"['Thriller', 'Drama']"
tt0090585,"['Drama', 'Fantasy', 'Musical']"
tt0092068,"['Comedy', 'Crime', 'Drama']"
tt0091113,"['Comedy', 'Drama']"
tt0092205,['Adventure']
tt0091534,['Comedy']
tt0091630,"['Comedy', 'Horror', 'Sci-Fi']"
tt0090576,"['Drama', 'History', 'Romance']"
tt0090970,"['Crime', 'Drama', 'Thriller']"
tt0090934,"['Drama', 'Family', 'Romance']"
tt0092195,"['Action', 'Comedy', 'Music']"
tt0092074,"['Comedy', 'Horror', 'Sci-Fi']"
tt0091019,"['Drama', 'Romance', 'War']"
tt0091374,"['Biography', 'Drama', 'History']"
tt0090769,"['Biography', 'Drama', 'Sport']"
tt0089221,"['Comedy', 'Drama']"
tt0091400,"['Action', 'Adventure']"
tt0094037,"['Action', 'Comedy']"
tt0093315,"['Comedy', 'Sport']"
tt0090092,['Documentary']
tt0090559,"['Documentary', 'Sport']"
tt0091173,['Comedy']
tt0091213,"['Action', 'Comedy', 'Crime']"
tt0092172,"['Action', 'Horror', 'Sci-Fi']"
tt0092934,['Drama']
tt0093010,"['Drama', 'Thriller']"
tt0092644,"['Action', 'Comedy', 'Crime']"
tt0092644,"['Action', 'Comedy', 'Crime']"
tt0093105,"['Biography', 'Comedy', 'Drama']"
tt0093565,"['Comedy', 'Drama', 'Romance']"
tt0094226,"['Crime', 'Drama', 'Thriller']"
tt0094025,"['Comedy', 'Thriller']"
tt0093409,"['Action', 'Crime', 'Thriller']"
tt0094332,"['Comedy', 'Fantasy', 'Horror']"
tt0092890,"['Drama', 'Music', 'Romance']"
tt0093773,"['Action', 'Horror', 'Sci-Fi']"
tt0094142,"['Comedy', 'Crime', 'Thriller']"
tt0092925,"['Comedy', 'Crime']"
tt0093378,"['Biography', 'Drama', 'Music']"
tt0093870,"['Action', 'Crime', 'Sci-Fi']"
tt0093690,['Comedy']
tt0092699,"['Comedy', 'Drama', 'Romance']"
tt0093428,"['Action', 'Adventure', 'Thriller']"
tt0092948,"['Documentary', 'Comedy']"
tt0093058,"['Drama', 'War']"
tt0093629,"['Fantasy', 'Horror', 'Thriller']"
tt0093389,"['Biography', 'Drama', 'History']"
tt0094291,"['Crime', 'Drama']"
tt0093493,"['Comedy', 'Fantasy', 'Romance']"
tt0093886,"['Comedy', 'Romance']"
tt0092666,"['Comedy', 'Romance']"
tt0093894,"['Action', 'Crime', 'Sci-Fi']"
tt0094012,"['Adventure', 'Comedy', 'Sci-Fi']"
tt0094072,"['Comedy', 'Romance']"
tt0093640,"['Action', 'Crime', 'Drama']"
tt0093418,"['Comedy', 'Fantasy']"
tt0092513,"['Action', 'Adventure', 'Comedy']"
tt0092494,"['Comedy', 'Family', 'Fantasy']"
tt0093437,"['Comedy', 'Fantasy', 'Horror']"
tt0092718,"['Comedy', 'Drama', 'Romance']"
tt0093660,"['Drama', 'Thriller']"
tt0093779,"['Adventure', 'Comedy', 'Family']"
tt0093857,['Comedy']
